Car,Location,Fuel,Transmission,Owner,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP
Hyundai Creta 1.6 CRDi SX Option,Pune,Diesel,Manual,First,41000,2015,8,19.67,1582.0,126.2,5.0,0.0,12.5
Honda Jazz V,Chennai,Petrol,Manual,First,46000,2011,12,15.625,1199.0,88.7,5.0,8.61,4.5
Maruti Ertiga VDI,Chennai,Diesel,Manual,First,87000,2012,11,20.77,1248.0,88.76,7.0,0.0,6.0
Audi A4 New 2.0 TDI Multitronic,Coimbatore,Diesel,Automatic,Second,40670,2013,10,15.2,1968.0,140.8,5.0,0.0,17.74
Nissan Micra Diesel XV,Jaipur,Diesel,Manual,First,86999,2013,10,23.08,1461.0,63.1,5.0,0.0,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,Diesel,Automatic,First,36000,2016,7,11.36,2755.0,171.5,8.0,21.0,17.5
Volkswagen Vento Diesel Comfortline,Pune,Diesel,Manual,First,64430,2013,10,20.54,1598.0,103.6,5.0,0.0,5.2
Tata Indica Vista Quadrajet LS,Chennai,Diesel,Manual,Second,65932,2012,11,22.3,1248.0,74.0,5.0,0.0,1.95
Maruti Ciaz Zeta,Kochi,Petrol,Manual,First,25692,2018,5,21.56,1462.0,103.25,5.0,10.65,9.95
Honda City 1.5 V AT Sunroof,Kolkata,Petrol,Automatic,First,60000,2012,11,16.8,1497.0,116.3,5.0,0.0,4.49
Maruti Swift VDI BSIV,Jaipur,Diesel,Manual,First,64424,2015,8,25.2,1248.0,74.0,5.0,0.0,5.6
Land Rover Range Rover 2.2L Pure,Delhi,Diesel,Automatic,First,72000,2014,9,12.7,2179.0,187.7,5.0,0.0,27.0
Land Rover Freelander 2 TD4 SE,Pune,Diesel,Automatic,Second,85000,2012,11,0.0,2179.0,115.0,5.0,0.0,17.5
Mitsubishi Pajero Sport 4X4,Delhi,Diesel,Manual,First,110000,2014,9,13.5,2477.0,175.56,7.0,32.01,15.0
Honda Amaze S i-Dtech,Kochi,Diesel,Manual,First,58950,2016,7,25.8,1498.0,98.6,5.0,0.0,5.4
Maruti Swift DDiS VDI,Jaipur,Diesel,Manual,First,25000,2017,6,28.4,1248.0,74.0,5.0,0.0,5.99
Renault Duster 85PS Diesel RxL Plus,Kochi,Diesel,Manual,First,77469,2014,9,20.45,1461.0,83.8,5.0,0.0,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,Diesel,Automatic,First,78500,2014,9,14.84,2143.0,167.62,5.0,0.0,28.0
BMW 3 Series 320d,Kochi,Diesel,Automatic,First,32982,2014,9,22.69,1995.0,190.0,5.0,47.87,18.55
Maruti S Cross DDiS 200 Alpha,Bangalore,Diesel,Manual,Second,55392,2015,8,23.65,1248.0,88.5,5.0,0.0,8.25
Audi A6 2011-2015 35 TFSI Technology,Mumbai,Petrol,Automatic,First,55985,2015,8,13.53,1984.0,177.01,5.0,0.0,23.5
Hyundai i20 1.2 Magna,Kolkata,Petrol,Manual,First,45807,2010,13,18.5,1197.0,80.0,5.0,0.0,1.87
Volkswagen Vento Petrol Highline AT,Kolkata,Petrol,Automatic,First,33000,2010,13,14.4,1598.0,103.6,5.0,0.0,2.85
Honda City Corporate Edition,Mumbai,Petrol,Manual,First,51920,2012,11,16.8,1497.0,116.3,5.0,0.0,4.25
