Car,Location,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third
Hyundai Creta 1.6 CRDi SX Option,Pune,41000,2015,8,19.67,1582.0,126.2,5.0,0.0,12.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Jazz V,Chennai,46000,2011,12,15.625,1199.0,88.7,5.0,8.61,4.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Ertiga VDI,Chennai,87000,2012,11,20.77,1248.0,88.76,7.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi A4 New 2.0 TDI Multitronic,Coimbatore,40670,2013,10,15.2,1968.0,140.8,5.0,0.0,17.74,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nissan Micra Diesel XV,Jaipur,86999,2013,10,23.08,1461.0,63.1,5.0,0.0,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,36000,2016,7,11.36,2755.0,171.5,8.0,21.0,17.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Volkswagen Vento Diesel Comfortline,Pune,64430,2013,10,20.54,1598.0,103.6,5.0,0.0,5.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Indica Vista Quadrajet LS,Chennai,65932,2012,11,22.3,1248.0,74.0,5.0,0.0,1.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti Ciaz Zeta,Kochi,25692,2018,5,21.56,1462.0,103.25,5.0,10.65,9.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda City 1.5 V AT Sunroof,Kolkata,60000,2012,11,16.8,1497.0,116.3,5.0,0.0,4.49,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift VDI BSIV,Jaipur,64424,2015,8,25.2,1248.0,74.0,5.0,0.0,5.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Land Rover Range Rover 2.2L Pure,Delhi,72000,2014,9,12.7,2179.0,187.7,5.0,0.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Land Rover Freelander 2 TD4 SE,Pune,85000,2012,11,0.0,2179.0,115.0,5.0,0.0,17.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mitsubishi Pajero Sport 4X4,Delhi,110000,2014,9,13.5,2477.0,175.56,7.0,32.01,15.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Amaze S i-Dtech,Kochi,58950,2016,7,25.8,1498.0,98.6,5.0,0.0,5.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift DDiS VDI,Jaipur,25000,2017,6,28.4,1248.0,74.0,5.0,0.0,5.99,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Renault Duster 85PS Diesel RxL Plus,Kochi,77469,2014,9,20.45,1461.0,83.8,5.0,0.0,6.34,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,78500,2014,9,14.84,2143.0,167.62,5.0,0.0,28.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 3 Series 320d,Kochi,32982,2014,9,22.69,1995.0,190.0,5.0,47.87,18.55,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti S Cross DDiS 200 Alpha,Bangalore,55392,2015,8,23.65,1248.0,88.5,5.0,0.0,8.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Audi A6 2011-2015 35 TFSI Technology,Mumbai,55985,2015,8,13.53,1984.0,177.01,5.0,0.0,23.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i20 1.2 Magna,Kolkata,45807,2010,13,18.5,1197.0,80.0,5.0,0.0,1.87,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Vento Petrol Highline AT,Kolkata,33000,2010,13,14.4,1598.0,103.6,5.0,0.0,2.85,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda City Corporate Edition,Mumbai,51920,2012,11,16.8,1497.0,116.3,5.0,0.0,4.25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Nissan Micra Diesel XV,Hyderabad,54000,2012,11,22.27027027027027,1461.0,63.1,5.0,0.0,4.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Alto K10 2010-2014 VXI,Hyderabad,54000,2013,10,20.92,998.0,67.1,5.0,0.0,2.75,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Honda WRV i-VTEC VX,Kochi,37430,2018,5,17.5,1199.0,88.7,5.0,10.57,9.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,262000,2007,16,12.8,2494.0,102.0,7.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Renault Duster 110PS Diesel RxZ Pack,Bangalore,62000,2013,10,19.01,1461.0,108.45,5.0,0.0,7.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
