ODO,Year,Age,Mileage,Engine,Power,Seats,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third,Price_Category
41000,2015,8,19.67,1582.0,126.2,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
46000,2011,12,15.625,1199.0,88.7,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
87000,2012,11,20.77,1248.0,88.76,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
40670,2013,10,15.2,1968.0,140.8,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
86999,2013,10,23.08,1461.0,63.1,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
36000,2016,7,11.36,2755.0,171.5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
64430,2013,10,20.54,1598.0,103.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
65932,2012,11,22.3,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
25692,2018,5,21.56,1462.0,103.25,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
60000,2012,11,16.8,1497.0,116.3,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
64424,2015,8,25.2,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
72000,2014,9,12.7,2179.0,187.7,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
85000,2012,11,0.0,2179.0,115.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
110000,2014,9,13.5,2477.0,175.56,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
58950,2016,7,25.8,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
25000,2017,6,28.4,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
77469,2014,9,20.45,1461.0,83.8,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
78500,2014,9,14.84,2143.0,167.62,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
32982,2014,9,22.69,1995.0,190.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
55392,2015,8,23.65,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
55985,2015,8,13.53,1984.0,177.01,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45807,2010,13,18.5,1197.0,80.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
33000,2010,13,14.4,1598.0,103.6,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
51920,2012,11,16.8,1497.0,116.3,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
